symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU3,-2,0,0.25,17923520896,17923520876,1,15368.25,15368.75,$10.00,08/29/2023 12:39:12,08/29/2023 12:38:21,51sec
NQU3,-2,0,0.25,17923520904,17923520876,1,15368.25,15368.75,$10.00,08/29/2023 12:39:12,08/29/2023 12:38:21,51sec
NQU3,-2,0,0.25,17923520912,17923520876,22,15368.50,15368.75,$110.00,08/29/2023 12:39:12,08/29/2023 12:38:21,51sec
NQU3,-2,0,0.25,17923520996,17923520923,4,15366.00,15367.50,$120.00,08/29/2023 12:47:35,08/29/2023 12:39:19,8min 15sec
NQU3,-2,0,0.25,17923521004,17923520923,1,15366.00,15367.50,$30.00,08/29/2023 12:47:35,08/29/2023 12:39:19,8min 15sec
NQU3,-2,0,0.25,17923521012,17923520923,19,15366.25,15367.50,$475.00,08/29/2023 12:47:35,08/29/2023 12:39:19,8min 16sec
NQU3,-2,0,0.25,17923521077,17923521026,1,15362.75,15363.25,$10.00,08/29/2023 12:51:35,08/29/2023 12:49:50,1min 44sec
NQU3,-2,0,0.25,17923521085,17923521026,3,15362.75,15363.25,$30.00,08/29/2023 12:51:35,08/29/2023 12:49:50,1min 44sec
NQU3,-2,0,0.25,17923521093,17923521026,20,15363.00,15363.25,$100.00,08/29/2023 12:51:35,08/29/2023 12:49:50,1min 45sec
NQU3,-2,0,0.25,17923521116,17923521104,24,15361.00,15362.25,$600.00,08/29/2023 12:51:48,08/29/2023 12:51:43,5sec
NQU3,-2,0,0.25,17923521155,17923521127,24,15381.25,15357.25,"$(11,520.00)",08/29/2023 12:58:19,08/29/2023 12:51:58,6min 20sec
NQU3,-2,0,0.25,17923521185,17923521169,2,15382.75,15383.50,$30.00,08/29/2023 13:05:28,08/29/2023 13:04:52,36sec
NQU3,-2,0,0.25,17923521193,17923521169,22,15383.00,15383.50,$220.00,08/29/2023 13:05:28,08/29/2023 13:04:52,36sec
NQU3,-2,0,0.25,17923521231,17923521204,24,15384.00,15384.50,$240.00,08/29/2023 13:09:18,08/29/2023 13:08:38,39sec
NQU3,-2,0,0.25,17923521281,17923521245,24,15382.25,15383.00,$360.00,08/29/2023 13:10:54,08/29/2023 13:09:36,1min 17sec
NQU3,-2,0,0.25,17923521312,17923521292,24,15377.75,15380.00,"$1,080.00",08/29/2023 13:11:24,08/29/2023 13:11:02,21sec
NQU3,-2,0,0.25,17923521348,17923521328,2,15371.75,15372.25,$20.00,08/29/2023 14:03:14,08/29/2023 14:00:18,2min 56sec
NQU3,-2,0,0.25,17923521422,17923521373,2,15510.50,15519.75,$370.00,09/01/2023 10:49:21,09/01/2023 10:48:11,1min 10sec
NQU3,-2,0,0.25,17923521460,17923521436,2,15481.50,15482.00,$20.00,09/01/2023 13:46:24,09/01/2023 13:45:53,31sec
NQU3,-2,0,0.25,17923521494,17923521471,1,15482.75,15483.25,$10.00,09/01/2023 13:47:46,09/01/2023 13:47:25,21sec
NQU3,-2,0,0.25,17923521502,17923521471,1,15483.25,15483.25,$0.00,09/01/2023 13:47:47,09/01/2023 13:47:25,22sec
NQU3,-2,0,0.25,17923521516,17923521548,2,15487.50,15487.00,$(20.00),09/01/2023 13:49:12,09/01/2023 13:50:34,1min 22sec
NQU3,-2,0,0.25,17923521606,17923521567,2,15537.00,15540.00,$120.00,09/05/2023 11:29:07,09/05/2023 11:28:26,40sec
NQU3,-2,0,0.25,17923521684,17923521617,1,15506.75,15508.75,$40.00,09/05/2023 11:42:11,09/05/2023 11:38:01,4min 10sec
NQU3,-2,0,0.25,17923521692,17923521617,1,15506.75,15508.75,$40.00,09/05/2023 11:42:11,09/05/2023 11:38:01,4min 10sec
NQU3,-2,0,0.25,17923521755,17923521706,2,15522.25,15531.75,$380.00,09/05/2023 12:04:49,09/05/2023 12:02:19,2min 30sec
NQU3,-2,0,0.25,17923521798,17923521766,2,15522.00,15523.00,$40.00,09/05/2023 12:06:28,09/05/2023 12:05:56,32sec
NQU3,-2,0,0.25,17923522003,17923521809,2,15541.75,15519.50,$(890.00),09/05/2023 12:27:59,09/05/2023 12:06:47,21min 12sec
NQU3,-2,0,0.25,17923522003,17923521887,2,15541.75,15541.00,$(30.00),09/05/2023 12:27:59,09/05/2023 12:17:02,10min 57sec
NQU3,-2,0,0.25,17923522003,17923521942,36,15541.75,15544.75,"$2,160.00",09/05/2023 12:27:59,09/05/2023 12:25:51,2min 8sec
NQU3,-2,0,0.25,17923522075,17923522018,2,15550.25,15554.25,$160.00,09/05/2023 12:41:46,09/05/2023 12:39:55,1min 51sec
NQU3,-2,0,0.25,17923522095,17923522086,2,15552.50,15552.50,$0.00,09/05/2023 12:50:25,09/05/2023 12:50:17,8sec
NQU3,-2,0,0.25,17923522224,17923522106,2,15558.00,15550.50,$(300.00),09/05/2023 12:56:00,09/05/2023 12:51:01,4min 59sec
NQU3,-2,0,0.25,17923522224,17923522145,2,15558.00,15558.25,$10.00,09/05/2023 12:56:00,09/05/2023 12:53:17,2min 43sec
NQU3,-2,0,0.25,17923522224,17923522184,2,15558.00,15555.50,$(100.00),09/05/2023 12:56:00,09/05/2023 12:54:15,1min 45sec
NQU3,-2,0,0.25,17923522263,17923522184,4,15552.50,15555.50,$240.00,09/05/2023 12:56:33,09/05/2023 12:54:15,2min 18sec
NQU3,-2,0,0.25,17923522263,17923522239,6,15552.50,15554.50,$240.00,09/05/2023 12:56:33,09/05/2023 12:56:29,3sec
NQU3,-2,0,0.25,17923522309,17923522276,10,15542.25,15543.25,$200.00,09/05/2023 13:04:52,09/05/2023 13:04:09,42sec
NQU3,-2,0,0.25,17923522353,17923522320,2,15532.75,15532.75,$0.00,09/05/2023 13:10:52,09/05/2023 13:09:47,1min 4sec
